Session or Event Title,Session or Event Abbreviation,Session or Event Type,Session or Event Topic,Session or Event Date,Session or Event Start Time,Session or Event End Time,Session or Event Location,Session or Event Details,Session or Event Hosts,Abstract or Placeholder Title,Abstract Final ID,Abstract or Placeholder Start Time,Abstract or Placeholder End Time,Abstract Presenter Name,Abstract Authors,Abstract Status,Institutions All,Abstract Body,Session Abstract Sort Order,"The Program Report was last updated December 16, 2015 at 01:17 AM EST. To view the most recent meeting schedule online, visit https://aas227.abstractcentral.com/planner.jsp"
AAS Council Meeting,,Splinter Meeting,,04-Jan-2016,8:00 AM,5:00 PM,Tallahassee 1 (Gaylord Palms Resort and Convention Center),,"Organizer: C. Urry, meg.urry@yale.edu, Yale University",,,,,,,,,,,
Introduction to Software Carpentry 2 Day Workshop (day 2 of 2),,Workshop,,04-Jan-2016,8:00 AM,5:30 PM,St. George 106 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
The CAE’s Tier I Teaching Excellence Workshop (day 2 of 2),,Workshop,,04-Jan-2016,8:00 AM,5:30 PM,St. George 112 (Gaylord Palms Resort and Convention Center),,"Organizer: Gina Brissenden, gbrissenden@as.arizona.edu, Center for Astronomy Education (CAE), Steward Observatory, Univ. of Arizona",,,,,,,,,,,
2016 AAS Astronomy Ambassador Workshop (day 2 of 2),,Workshop,,04-Jan-2016,8:30 AM,5:00 PM,St. George 104 (Gaylord Palms Resort and Convention Center),,"Organizer: Richard Fienberg, rick.fienberg@aas.org, American Astronomical Society;Organizer: Suzanne Gurton, sgurton@astrosociety.org, Astronomical Society of the Pacific",,,,,,,,,,,
Leadership and Team-building for Astronomers,,Workshop,,04-Jan-2016,9:00 AM,4:00 PM,Emerald 4 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
Using Python for Astronomical Data Analysis,,Workshop,,04-Jan-2016,9:00 AM,4:30 PM,St. George 114 (Gaylord Palms Resort and Convention Center),,"Organizer: Perry Greenfield, perry@stsci.edu",,,,,,,,,,,
Exoplanet Exploration Program Analysis Group (ExoPAG) (day 2 of 2),,Splinter Meeting,,04-Jan-2016,9:00 AM,5:00 PM,Orange Blossom Ballroom (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
Next Generation Very Large Array Workshop 2016,,Workshop,,04-Jan-2016,9:00 AM,5:00 PM,Sun B (Gaylord Palms Resort and Convention Center),,"Organizer: Mark Adams, mtadams@nrao.edu, NRAO",,,,,,,,,,,
2016 NSF Postdoctoral Fellows Symposium (day 2 of 2),,Workshop,,04-Jan-2016,9:00 AM,6:00 PM,Sun C (Gaylord Palms Resort and Convention Center),,"Organizer: Devin Silvia, dsilvia@msu.edu, Michigan State University",,,,,,,,,,,
Astrostatistics and R,,Workshop,,04-Jan-2016,9:00 AM,6:00 PM,Emerald 8 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
COPAG I,,Splinter Meeting,,04-Jan-2016,10:00 AM,1:00 PM,Osceola B (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
SciCoder Presents: Developing Larger Software Projects,,Workshop,,04-Jan-2016,10:00 AM,6:00 PM,Emerald 6 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
PAG Meetings,,Splinter Meeting,,04-Jan-2016,12:00 PM,5:00 PM,Osceola A (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
Submitting Successful Proposals to the NSF IUSE Program,,Workshop,,04-Jan-2016,1:00 PM,5:00 PM,St. George 108 (Gaylord Palms Resort and Convention Center),,"Organizer: Kevin Lee, KELEE@nsf.gov, NSF",,,,,,,,,,,
Bayesian Methods in Astronomy: Hands-on Statistics,,Workshop,,04-Jan-2016,1:00 PM,6:00 PM,Emerald 2 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",Was Einstein Right? A Centennial Assessment,90.01,1:30 PM,2:00 PM,C. M. Will*,C. M. Will*,Sessioned,Univ. of Florida,"Abstract (2,250 Maximum Characters): Einstein formulated general relativity 100 years ago. Although it is generally considered a great triumph, the theory's early years were characterized by conceptual confusion, empirical uncertainties and a lack of relevance to ordinary physics. But in recent decades, a remarkably diverse set of precision experiments has established it as the ""standard model"" for gravitational physics. Yet it might not be the final word. We review a century of measurements that have verified general relativity, and describe some of the opportunities and challenges involved in testing Einstein’s great theory in strong-field regimes and in gravitational waves.\n",1,
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine","News from Front (of the Solar System): the problem with Mercury, the Vulcan hypothesis, and General Relativity’s first astronomical triumph",90.02,2:00 PM,2:30 PM,W. Sheehan*,W. Sheehan*,Sessioned,Child and Adolescent Behavioral Health Services,"Abstract (2,250 Maximum Characters): The discovery of the outer planet Neptune in 1846, based on the calculated position published by Urbain Jean Joseph Le Verrier, has been hailed as the “zenith of Newtonian mechanics.”  An attempt by Le Verrier to further extend the dominion of Newton’s gravitational theory to the innermost known planet of the Solar System, Mercury, seemingly came to grief with the discovery of a small unexplained discrepancy in the precession of the perihelion of Mercury, whose value was later calculated as 43”.0 per century.  Le Verrier proposed that it could be explained on the basis of Newtonian theory by assuming the existence of an intra-mercurial planet (“Vulcan”) or ring of debris.  Efforts to confirm this hypothesis, culminating in high drama on the plains of the western United States at the great North American solar eclipse of July 1878, proved futile; by 1908, W. W. Campbell and C.D. Perrine of Lick Observatory, who had carried out exhaustive photographic searches at three eclipses (1901, 1905, and 1908) could declare that Vulcan did not exist.    The theoretical problem it was invoked to explain remained until November 1915, when Albert Einstein used the recently discovered generally covariant gravitational equations to put the problem to rest.  “Perihelion motions explained quantitatively … you will be astonished,” he wrote to his friend Michael Besso.\n",2,
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",Cosmology in Mr. Tompkins' Lifetime,90.03,2:30 PM,3:00 PM,R. P. Lindner*,R. P. Lindner*,Sessioned,Univ. of Michigan,"Abstract (2,250 Maximum Characters): Mr. Tompkins, the hero of George Gamow's most famous book, was born in the first decade of the twentieth century and lived until its end.  A bank clerk by day, Mr. Tompkins had wide-ranging interests, and his curiosity led him to popular scientific presentations, and these in turn brought him a long and happy marriage to Maud, the daughter of a professor of physics.   His lifetime offers an appropriate framework for a meditation on the history of cosmology during the century in which cosmology became a scientific enterprise.  As it happens, Mr. Tompkins' first exposure to cosmology, in which he observed both the expansion and contraction of an oscillating universe in 1939, happened during the long night of relativity, the generation in which relativity specialists became few and, like the galaxies, far between.  This talk will consider the heyday of early relativistic cosmology from 1917 to 1935, the causes and consequences of the ""long night"" from 1935 until 1963, and the renaissance of cosmology, which, occurring as it did upon the retirement of Mr. Tompkins, afforded him great pleasure in his later years.\n",3,
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",General Relativity During the Great War,90.04,3:00 PM,3:30 PM,V. L. Trimble*,V. L. Trimble*,Sessioned,"UC, Irvine","Abstract (2,250 Maximum Characters): Einstein’s (and Hilbert’s) equations saw light of day in the darkness of Berlin 1915, as is well known. Moving from this highlight to less conspicuous topics, we find Karl Schwarzschild’s solution of those equations (1916) followed shortly by his death. On the observational and American front, Slipher’s assemblage of galaxy radial velocities, begun in 1912 with M31, continued apace. Shapley was busily moving us out of the galactic center. Also at Mt. Wilson, Charles St. John looked for gravitational redshift in the solar spectrum in 1917 without firmly detecting it. Adams demonstrated the very low luminosities of Sirius B and 40 Eri B in 1914 (but his attempt at a redshift for the former came only in 1923). Perhaps least well known is that a handful of additional critical theoretical papers date from the war years and describe the Lense-Thirring effect, the Reissner-Nordstrom solution, and a charged solution with a cosmological constant (due to the even more obscure Friedrich Kottler). Some of these came out of neutral Holland, but Kottler served both at Ypres and on the Galician front. Interesting mixes of military service and relativistic contributions are also associated with the names of Friedmann, Le Lemaître, Weyl (of the tensor), Minkowski, Hubble, Flamm, Droste, and Kretschmann. Astronomers in neutral Denmark, Holland and (until 1917) the USA facilitated transmittal of astronomical observations and other news across the battle lines so that Schwarzschild received an obituary in <u>Nature</u> and Moseley one in <u>Naturwissenschaften</u>.\n",4,
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",General Relativity Today,90.05,3:30 PM,4:00 PM,R. D. Blandford*,R. D. Blandford*,Sessioned,"KIPAC, Stanford University","Abstract (2,250 Maximum Characters): A hundred years after its birth, general relativity has become a highly successful theory in the sese that it has passed many experimental and observational tests and finds widespread application to diverse set of cosmic phenomena. It remains an accurate research field as more tests are deployed, epitomized by the exciting prospect of detecting gravitational radiation directly. General realtivity is the essential foundation of modern cosmology and underlies our detailed description of the black holes and neutron stars that are ultimately responsible for the most powerful and dramatic cosmic sources. The interface with physics on both the largest and the smallest scales continues to be very fertile. In this talk I will attempt to highlight some key steps along the way to general relativity today.\n",5,
PhysPAG,,Splinter Meeting,,04-Jan-2016,3:00 PM,7:30 PM,Naples (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
COPAG II,,Splinter Meeting,,04-Jan-2016,4:00 PM,8:00 PM,Osceola B (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
Undergraduate Orientation,,Attendee Event,,04-Jan-2016,5:30 PM,7:00 PM,Sun A (Gaylord Palms Resort and Convention Center),,"Organizer: C. Urry, meg.urry@yale.edu, Yale University",,,,,,,,,,,
WG on the Preservation of Astronomical Heritage,,Splinter Meeting,,04-Jan-2016,5:30 PM,7:00 PM,Emerald 3 (Gaylord Palms Resort and Convention Center),,"Organizer: Jennifer Bartlett, jennifer.bartlett@usno.navy.mil, US Naval Observatory",,,,,,,,,,,
40+E Reception,,Invitation-Only Event,,04-Jan-2016,6:00 PM,7:00 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
AAS Opening Reception,,Attendee Event,,04-Jan-2016,7:00 PM,9:00 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
Session Chair Breakfast,,Invitation-Only Event,,05-Jan-2016,7:30 AM,8:00 AM,St. George 104 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
Plenary Session: Welcome Address by AAS President Meg Urry (Yale University),100,Plenary Session,,05-Jan-2016,8:00 AM,8:30 AM,Osceola C (Gaylord Palms Resort and Convention Center),,"Chair: C. Urry, meg.urry@yale.edu, Yale University",,,,,,,,,,,
"Kavli Foundation Lecture: The Exploration of the Pluto System by New Horizons, S. A. Stern (SwRI)",101,Plenary Session,,05-Jan-2016,8:30 AM,9:20 AM,Osceola C (Gaylord Palms Resort and Convention Center),,"Chair: C. Urry, meg.urry@yale.edu, Yale University",The Exploration of the Pluto System by New Horizons,101.01,8:30 AM,9:20 AM,S. A. Stern*,S. A. Stern*,Sessioned,SwRI,"Abstract (2,250 Maximum Characters): The Pluto system was recently explored by NASA’s New Horizons spacecraft, making closest approach on 14 July 2015. Pluto’s surface displays diverse landforms, terrain ages, albedos, colors, and composition gradients. Evidence is found for a water-ice crust, geologically young surface units, surface ice convection, wind streaks, volatile transport, and glacial flow. Pluto’s atmosphere is highly extended, with trace hydrocarbons, a global haze layer, and a surface pressure near 10 microbars. Pluto’s diverse surface geology and long term activity raise fundamental questions about how small planets remain active many billions of years (Gyr) after formation. Pluto’s large moon Charon displays tectonics and evidence for a heterogeneous crustal composition; its North Pole displays puzzling dark terrain. Small satellites Hydra and Nix have higher albedos than expected. In this talk I will summarize the objectives of the New Horizons mission, its scientific payload, and survey key results obtained to date about Pluto and its system of moons.\n",1,
Careers 101: Career Planning Workshop and Panel for Graduate Students and Postdocs,,Workshop,,05-Jan-2016,9:30 AM,11:30 AM,St. George 108 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University","The Fossil Record of Black Hole Seeds, with Spatially Resolved Spectroscopy",104.01,10:00 AM,10:10 AM,J. R. Trump*,J. R. Trump*,Sessioned,Penn State,"Abstract (2,250 Maximum Characters): I will present the first robust measurement of black hole occupation over a wide range of host galaxy mass (8<log(M*/Msun)<12) at 0<z<2.5.  A complete AGN census is made possible by using HST spatially resolved spectroscopy, which reliably distinguishes a nuclear AGN from extended star formation and largely avoids the star-formation dilution bias plaguing traditional low-mass AGN selection.  The observations suggest bimodal seed formation: while many low-mass galaxies host massive black holes, their black hole occupation is ~10% that of massive galaxies.  The measured black hole occupation qualitatively agrees with theoretical models of black hole formation, with massive direct-collapse seeds forming only in massive halos and black hole formation confined to lower-mass Pop III remnants in small halos.\n",1,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",The Observed Evolution of the Black-Hole-Host Mass Relation to z~3.5,104.02,10:10 AM,10:20 AM,B. Trakhtenbrot*,B. Trakhtenbrot*; C. M. Urry; F. M. Civano; D. J. Rosario; M. Elvis; K. Schawinski; H. Suh; A. Bongiorno; B. Simmons; S. Marchesi,Sessioned,ETH Zurich; Yale University; Max-Planck-Institut für Extraterrestrische Physik; Harvard-Smithsonian Center for Astrophysics; University of Hawaii; INAF-Osservatorio Astronomico di Roma; University of Oxford,"Abstract (2,250 Maximum Characters): We present our Keck/MOSFIRE project to probe basic black hole and host galaxy properties in a sample of faint Active Galactic Nuclei (AGN) at z~2.1-3.7, selected through the extensive X-ray Chandra coverage of the COSMOS field. Compared with previous studies of unobscured AGN at these high redshifts, our sources have lower AGN luminosities, corresponding to significantly higher number densities, of order ∼10<sup>-6</sup>-10<sup>−5</sup> Mpc<sup>−3</sup>. The new K-band data covers the spectral region surrounding the broad Hbeta or Halpha emission lines, and enables the estimation of black hole masses (M<sub>BH</sub>) and accretion rates (in terms of L/L<sub>Edd</sub>). The lower AGN luminosities also allow for robust determinations of the host galaxies stellar masses, therefore enabling us to trace the evolution of the BH-to-stellar mass ratio (M<sub>BH</sub>/M<sub>*</sub>) to z~3.5. Compared with the rarer, higher-luminosity quasars targeted in previous studies, we find that the 12 AGN in our sample have lower M<sub>BH</sub> (~5x10<sup>8</sup> M<sub>sun</sub>), but similar accretion rates (L/L<sub>Edd</sub>~0.1-0.5). The BH-to-stellar mass ratio, M<sub>BH</sub>/M<sub>*</sub>, has a large scatter, with several sources reaching extremely high ratios of M<sub>BH</sub>/M<sub>* </sub>~ 10% - higher by at least an order of magnitude than what is observed in the local Universe. The typical mass ratio for our sample is consistent with a trend of M<sub>BH</sub>/M<sub>* </sub>~ (1+z)<sup>2</sup>. I will highlight some intriguing sources in the sample, and will briefly discuss the implications of our findings to the co-evolution of SMBHs and their host galaxies.\n",2,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",HST images of FeLoBAL quasars: Testing quasar-galaxy evolution models,104.03,10:20 AM,10:30 AM,H. Herbst*,H. Herbst*; F. Hamann; C. Villforth; P. Caselli; A. M. Koekemoer; S. Veilleux,Sessioned,University of Florida; University of Bath; Max Planck Institute for Extraterrestrial Physics; Space Telescope Science Institute; University of Maryland,"Abstract (2,250 Maximum Characters): We present preliminary results from an HST imaging study of FeLoBAL quasars, which have extremely low-ionization Broad Absorption Line (BAL) outflows and might be a young quasar population based on their red colors, large far-IR luminosities (suggesting high star formation rates), and powerful outflows. Some models of quasar - host galaxy evolution propose a triggering event, such as a merger, to fuel both a burst of star formation and the quasar/AGN activity. These models suggest young quasars are initially obscured inside the dusty starburst until a ""blowout"" phase, driven by the starburst or quasar outflows like FeLoBALs, ends the star formation and reveals the visibly luminous quasar. Despite the popularity of this evolution scheme, there is little observational evidence to support the role of mergers in triggering AGN or the youth of dust-reddened quasars (such as FeLoBALs) compared to normal blue quasars.<br /><br />Our Cycle 22 HST program is designed to test the youth of FeLoBAL quasars and the connection of FeLoBALs to mergers. We obtain WFC3/IR F160W images of 10 FeLoBAL quasars at redshift z~0.9 (covering ~8500A in the quasar rest frame). We will compare the host galaxy morphologies and merger signatures of FeLoBALs with normal blue quasars (which are older according to the evolution model) and non-AGN galaxies matched in redshift and stellar mass. If FeLoBAL quasars are indeed in a young evolutionary state, close in time to the initial merging event, they should have stronger merger features compared to blue quasars and non-AGN galaxies. Preliminary results suggest that this is not the case - FeLoBAL quasars appear to reside in faint, compact hosts with weak or absent merger signatures. We discuss the implications of these results for galaxy evolution models and other studies of dust-reddened quasar populations.<br />\n",3,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Dual AGNs in Mergers: An X-ray and IR investigation,104.04,10:30 AM,10:40 AM,S. Satyapal*,S. Satyapal*; N. Secrest; B. Rothburg; S. L. Ellison; P. McNulty,Sessioned,George Mason University; Naval Research Laboratory; University of Victoria; Large Binocular Telescope Observatory,"Abstract (2,250 Maximum Characters): Since the vast majority of galaxies contain supermassive black holes (SMBHs) and galaxy interactions trigger nuclear gas accretion, a direct consequence of the hierarchical model of galaxy formation would be the existence of binary active galactic nuclei (AGNs). The existence, frequency, and characteristics of such binary AGNs have important astrophysical implications on the SMBH mass function, the interplay between SMBHs and the host galaxy, and the M-sigma relation. Despite decades of searching, and strong theoretical reasons that they should exist, observationally confirmed cases of binary AGNs are extremely rare, and most have been discovered serendipitously. Using the all-sky WISE survey, we identified a population of over one hundred strongly interacting galaxies that display extreme red mid-infrared colors thus far exclusively associated in extragalactic sources with powerful AGNs.  In this talk, I will summarize follow-up X-ray and near-IR spectroscopic observations of this population that reveal a population of optically quiescent dual AGNs at kpc scales. These observations demonstrate that mid_IR surveys are an ideal pre-selection strategy in finding dual AGNs in the most advanced mergers.\n",4,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Understanding AGNs in the Local Universe through Optical Reverberation Mapping,104.05D,10:40 AM,11:00 AM,L. Pei*,L. Pei*,Sessioned,Unviersity of Californina Irvine,"Abstract (2,250 Maximum Characters): I present the results of observational projects aimed at measuring the mass of the black hole at the center of active galactic nuclei (AGNs) and understanding the structure and kinematics of the broad-line emitting gas within the black hole’s sphere of influence.<br /><br />The first project aims to measure the black hole mass in the Kepler-field AGN KA1858. We obtained simultaneous spectroscopic data from the Lick Observatory 3-m telescope using the Kast Double Spectrograph and photometry data from five ground-based telescopes, and used reverberation mapping (RM) techniques to measure the emission-line light curves’ lags relative to continuum variations. We obtained lags for H-beta, H-gamma, H-delta, and He II, and obtained the first black hole mass measurement for this object. Our results will serve as a reference point for future studies on relations between black hole mass and continuum variability characteristics using Kepler AGN light curves.<br /><br />The second project, in collaboration with the AGN STORM team, aims to understand the structure and dynamics of the broad line region (BLR) in NGC 5548 in both UV and optical wavelengths. To supplement 6 months of HST UV observations, we obtained simultaneous optical spectroscopic data from six ground-based observatories. We obtained emission-line lags for the optical H-beta and He II lines as well as velocity-resolved lag measurements for H-beta. We also compared the velocity-resolved lags for H-beta to the UV emission lines C IV and Ly-alpha and found similar lag profiles for all three lines.<br /><br />Finally, I will discuss my contributions to two other collaborations in AGN RM. A key component in RM is monitoring continuum variability, which is often done through ground-based photometry. I will present a pipeline that performs aperture photometry on any number of images of an AGN with WCS coordinates and immediately produces relative light curves. This pipeline enables quick looks of AGN variability in real time and has been used in the LAMP 2011 and the LCOGT Key Project collaborations. It is also applicable to large archival datasets in preparation for survey campaigns in the near future.\n",5,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Active Galactic Nuclei flicker on a characteristic timescale of 105 years: implications for black hole growth and AGN feedback,104.06,11:00 AM,11:10 AM,K. Schawinski*,K. Schawinski*; M. Koss; L. F. Sartori; S. Berney,Sessioned,ETH Zurich,"Abstract (2,250 Maximum Characters): The total duration of quasar phases has been estimated to be on the order of 100 Myr to 1 Gyr. However, black hole accretion may not be a smooth process and a long-lasting growth phase may actually be composed of maby brief 10<sup>5</sup> year accretion bursts, interspersed by low-Eddington phases and even quiescence. I present an observational argument for the 10<sup>5</sup> year timescale, discuss its implications as well as current observational efforts to map out the entire AGN lifecycle.\n",6,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Improving Calibration of the MBH - σ* Relation for AGN with the BRAVE Program,104.07,11:10 AM,11:20 AM,M. Batiste*,M. Batiste*; M. C. Bentz,Sessioned,Georgia State University,"Abstract (2,250 Maximum Characters): The M<sub>BH</sub> - σ<sub>*</sub> relation for AGN, which relates the mass of the central supermassive black hole (M<sub>BH</sub>) to the bulge stellar velocity dispersion (σ<sub>*</sub>) of the host galaxy, is a powerful tool for studying the evolution of structure across cosmic time. Accurate calibration of this relation is essential and much effort has been put into improving M<sub>BH</sub> determinations, however calibration remains difficult because many AGN are hosted by late-type galaxies with significant kinematic substructure such as bars, disks and rings. Kinematic substructure is known to contaminate and bias σ<sub>*</sub> determinations from long-slit spectroscopy, ultimately limiting the utility of the M<sub>BH</sub> - σ<sub>*</sub> relation. We present the first results from the BRAVE program, the goal of which is to use integral-field spectroscopy to more accurately determine σ<sub>*</sub> for the calibrating sample of ∼30 reverberation-mapped AGN. We have used the new HexPak IFU at WIYN to observe eight nearby, low-inclination AGN in this sample. We present first results from these observations and discuss how the line of sight velocity distribution may be used to identify and correct for contamination by kinematic substructure, in order to more accurately determine σ<sub>*</sub> for calibration of the M<sub>BH</sub> - σ<sub>*</sub> relation for AGN.\n",7,
